Name,warehouse_id,cost_per_unit,qty_on_hand,category_id
Cadbury Dairy Milk Hazelnut Chocolate 90 g,4,5.95,45,3
Mission Foods Tortilla Chips With Nori Wasabi Flavour 170 g,4,7.55,144,3
Kise Kacang Campuran 330 g,2,7.9,79,3
Ramly Beef Burger Classic Oblong 70 g,0,11.15,107,4
Ramly Chicken Burger Classic Oblong 70 g,4,10,143,4
Ramly Minced Chicken (4 Pieces) 800 g,5,17.45,113,4
Brahim's Chinese Style Fried Rice 180 g,0,6.8,130,4
Frozen Chicken Wing 1 packet,5,4.72,40,4
Frozen Chicken Whole Leg 1 packet,2,3.5,10,4
Frozen Australian Beef Feet 1 packet,1,5.62,83,4
Fresh Kembung Rebus 1 packet,3,10,139,4
Barracuda (Ikan Kacang Alu) 1 packet,5,3.45,96,4
Mushroom Steamboat Selection 500 g,4,13.05,34,4
Mushroom Lobster Flavour Ball 500 g,2,13.45,60,4
Figo Chicken Slice 500 g,3,11.45,26,4
Kawan Frozen Sweet Corn 500g 500 g,2,6.5,21,4
KG Frozen Garden Peas 500 g,2,6,140,4
Ayam A1 Beef Patty Burger (5 Pieces) 300 g,4,5.3,140,4
First Pride Fully Cooked Cornflakes Chicken Nuggets 420 g,5,13.1,129,4
Ayamas Chicken Meatball With Cheese 450G 450 g,3,13.8,89,4
Figo Cheesy Fish Curd 500 g,5,13.15,132,4
Ayam A1 8 Jumbo Chicken Frankfurter With Cheese 880 g,4,15,33,4
Ayam A1 Honey Fried Chicken 850 g,0,12.75,130,4
